"*","1.0.0.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 15169","i"
"*>","1.0.0.0","24","200.219.145.23",NA,NA,0,"53242 7738 15169","i"
"*","1.0.4.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 1299 7545 56203","i"
"*>","1.0.4.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 7545 56203","i"
"*","1.0.5.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 1299 7545 56203","i"
"*>","1.0.5.0","24","200.219.145.23",NA,NA,0,"53242 12956 174 7545 56203","i"
"*","1.0.6.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2828 4826 38803 56203","i"
"*>","1.0.6.0","24","200.219.145.23",NA,NA,0,"53242 7738 6939 4826 38803 56203","i"
"*>","1.47.44.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 4651 10089 9587 24378","i"
"*","1.47.45.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 10089 9587 24378","i"
"*>","1.47.45.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 4651 10089 9587 24378","i"
"*","1.47.46.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 10089 9587 24378","i"
"*>","1.47.46.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 4651 10089 9587 24378","i"
"*","1.47.47.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3356 4651 10089 9587 24378","i"
"*>","1.47.47.0","24","200.219.145.23",NA,NA,0,"53242 12956 3356 4651 10089 9587 24378","i"
"*>","1.233.253.0","24","200.219.145.23",NA,NA,0,"53242 12956 4134 9318 4665","i"
"*","1.233.254.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 9318 4665","i"
"*>","1.233.254.0","24","200.219.145.23",NA,NA,0,"53242 12956 4134 9318 4665","i"
"*","1.233.255.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 2914 9318 4665","i"
"*>","1.233.255.0","24","200.219.145.23",NA,NA,0,"53242 12956 4134 9318 4665","i"
"*","1.235.163.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 3786 38393","?"
"*>","2.94.111.0","24","200.219.145.23",NA,NA,0,"53242 12956 702 3216 8402","?"
"*","2.94.112.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 8402","?"
"*>","2.94.112.0","24","200.219.145.23",NA,NA,0,"53242 12956 702 3216 8402","?"
"*","2.94.113.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 8402","?"
"*>","2.94.113.0","24","200.219.145.23",NA,NA,0,"53242 12956 702 3216 8402","?"
"*","2.94.114.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 8402","?"
"*>","5.34.88.0","21","200.219.145.23",NA,NA,0,"53242 7738 8657 29076 60299 197556 35168 21299","?"
"*","5.34.96.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 197556 35168 21299","i"
"*>","5.34.96.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 3216 197556 35168 21299","i"
"*","5.34.97.0","24","200.219.145.45",NA,NA,0,"28135 18881 3549 6762 3216 197556 35168 21299","i"
"*>","5.34.97.0","24","200.219.145.23",NA,NA,0,"53242 12956 6453 3216 197556 35168 21299","i"
